Pays,Pays_fr,Annee,Population,Densite(P/Km2),Superficie(Km2),Electricite d'origine fossile(TWh),Electricite d'origine nucleaire(TWh),Electricite d'origine renouvelable(TWh),Electricite d'origine fossile / hab(KWh/pers),Electricite d'origine nucleaire / hab(KWh/pers),Electricite d'origine renouvelable / hab(KWh/pers),Part energie renouvelable(%),Part energie fossile(%),Part autres energies(%),Intensite energetique(MJ/$2017 PIB PPA),Emissions CO2(kt),Croissance PIB(%),PIB/habitant($)
Bulgaria,Bulgarie,2002,7096256.0,64.0,110879.0,19.75,20.22,2.12,2.783157766574374,2.849389875449815,0.2987490868424138,8.7,46.92326,44.37674,8.63,43599.99847,5.871930278,2092.957694
Bulgaria,Bulgarie,2003,7096256.0,64.0,110879.0,22.02,17.28,2.99,3.1030447605046945,2.4350868965268444,0.4213489479522723,9.16,52.06905,38.77095,8.41,47930.00031,5.237154278,2719.497656
Bulgaria,Bulgarie,2004,7096256.0,64.0,110879.0,21.44,16.82,3.14,3.021311519764789,2.3702639814572644,0.44248685504017893,9.55,51.787445,38.662555,7.68,47270.00046,6.510426379,3389.707049
Bulgaria,Bulgarie,2005,7096256.0,64.0,110879.0,20.98,18.65,4.3,2.9564886046952084,2.6281464479297254,0.6059533365199903,9.83,47.757797,42.412203000000005,7.58,47990.00168,7.056347526,3899.907638
Bulgaria,Bulgarie,2006,7096256.0,64.0,110879.0,21.76,19.49,4.23,3.066405721552323,2.746518727622002,0.5960889798789671,9.96,47.845207,42.194793,7.31,48950.00076,6.802589382,4523.050833
Bulgaria,Bulgarie,2007,7096256.0,64.0,110879.0,25.38,14.64,2.88,3.576533879273803,2.063059731779688,0.40584781608780746,8.85,59.16084,31.98916,6.73,52599.99847,6.591380837,5885.104348
Bulgaria,Bulgarie,2008,7096256.0,64.0,110879.0,25.86,15.77,2.93,3.644175181955104,2.222298631841918,0.41289378511710967,9.94,58.03411,32.025890000000004,6.26,50040.00092,6.116017964,7265.735497
Bulgaria,Bulgarie,2009,7096256.0,64.0,110879.0,23.39,15.26,3.68,3.296104311907575,2.1504297477430354,0.5185833205566428,11.62,55.25632,33.12368,5.68,42909.99985,-3.271854279,6988.233325
Bulgaria,Bulgarie,2010,7096256.0,64.0,110879.0,24.97,15.25,5.76,3.518756933233525,2.149020553937175,0.8116956321756149,14.27,54.30622,31.423779999999997,5.75,44740.00168,1.541801443,6853.002854
Bulgaria,Bulgarie,2011,7096256.0,64.0,110879.0,29.75,16.31,3.89,4.192351572434816,2.2983950973583815,0.5481763904797121,13.22,59.55956,27.220440000000004,6.04,49639.99939,2.10120575,7849.165283
Bulgaria,Bulgarie,2012,7096256.0,64.0,110879.0,25.45,15.78,5.25,3.586398235914826,2.2237078256477782,0.7398267480767323,15.63,54.754734,29.615266,5.76,45020.00046,0.754930386,7432.478766
Bulgaria,Bulgarie,2013,7096256.0,64.0,110879.0,21.96,14.17,6.91,3.0945895976695317,1.996827622904247,0.9737529198495657,18.24,51.022305,30.737695,5.31,39659.99985,-0.560493966,7681.93462
Bulgaria,Bulgarie,2014,7096256.0,64.0,110879.0,23.66,15.87,7.39,3.3341525446658067,2.236390569900522,1.041394222530867,17.15,50.426254,32.423746,5.47,42049.99924,0.966869032,7901.785876
Bulgaria,Bulgarie,2015,7096256.0,64.0,110879.0,24.57,15.38,8.75,3.462389180999107,2.1673400734133605,1.233044580127887,17.85,50.451748,31.698251999999997,5.48,44560.00137,3.428054914,7074.681023
Bulgaria,Bulgarie,2016,7096256.0,64.0,110879.0,21.74,15.78,7.04,3.063587333940602,2.2237078256477782,0.9920724393257515,17.71,48.78815,33.50185,5.15,41590.00015,3.039825276,7569.478815
Bulgaria,Bulgarie,2017,7096256.0,64.0,110879.0,23.25,15.55,6.13,3.2763755986255285,2.191296368112988,0.8638358029924512,17.12,51.74716,31.132839999999998,5.14,43880.00107,2.76217096,8366.293221
Bulgaria,Bulgarie,2018,7096256.0,64.0,110879.0,21.03,16.13,9.38,2.9635345737245107,2.2730296088528936,1.321823789897095,19.6,45.186935,35.213065,4.98,40900.00153,2.684576131,9446.700772
Bulgaria,Bulgarie,2019,7096256.0,64.0,110879.0,19.75,16.56,7.49,2.783157766574374,2.3336249425048923,1.0554861605894714,19.34,45.091324,35.568675999999996,4.74,39139.99939,4.037592082,9879.268533
Croatia,Croatie,2000,4131362.0,73.0,56594.0,4.81,0.0,6.45,1.1642649566898278,0.0,1.561228476226484,26.76,42.717587,30.522412999999997,4.32,18040.0,2.895500506,4887.713716
Croatia,Croatie,2001,4131362.0,73.0,56594.0,5.59,0.0,7.18,1.3530646793962862,0.0,1.7379256526056057,26.92,43.774475,29.305524999999996,4.36,19200.0,3.032498265,5412.925136
Croatia,Croatie,2002,4131362.0,73.0,56594.0,6.86,0.0,5.85,1.6604693561106483,0.0,1.4159979202984392,24.61,53.97325,21.41675,4.24,20280.00069,5.722074201,6293.225299
Croatia,Croatie,2003,4131362.0,73.0,56594.0,7.73,0.0,5.46,1.8710536622063136,0.0,1.3215980589452099,24.82,58.605003,16.574996999999996,4.3,21610.00061,5.525946728,8129.794584
Croatia,Croatie,2004,4131362.0,73.0,56594.0,6.26,0.0,7.63,1.5152388001826032,0.0,1.8468485695516395,26.56,45.068398,28.371602,4.13,21100.00038,4.149336808,9747.440771
Croatia,Croatie,2005,4131362.0,73.0,56594.0,6.0,0.0,7.06,1.4523055592804504,0.0,1.7088795414199967,26.82,45.94181,27.238190000000003,4.02,21450.00076,4.312401186,10621.50746
Croatia,Croatie,2006,4131362.0,73.0,56594.0,6.27,0.0,6.65,1.5176593094480706,0.0,1.6096386615358325,25.51,48.52941,25.96059,3.81,21610.00061,4.938356531,11797.47447
Croatia,Croatie,2007,4131362.0,73.0,56594.0,7.8,0.0,4.74,1.8879972270645855,0.0,1.1473213918315557,22.66,62.20096,15.139039999999998,3.77,22879.99916,4.912811472,14046.31681
Croatia,Croatie,2008,4131362.0,73.0,56594.0,6.94,0.0,5.84,1.6798334302343876,0.0,1.4135774110329717,24.14,54.3036,21.556399999999996,3.6,21729.99954,1.895443552,16416.58681
Croatia,Croatie,2009,4131362.0,73.0,56594.0,5.87,0.0,7.48,1.4208389388293738,0.0,1.810540930569628,27.16,43.97004,28.869960000000003,3.75,20309.99947,-7.281699547,14653.04355
Croatia,Croatie,2010,4131362.0,73.0,56594.0,5.49,0.0,9.3,1.3288595867416122,0.0,2.251073616884698,29.75,37.119675,33.130325,3.76,19459.99908,-1.250700462,14067.52312
Croatia,Croatie,2011,4131362.0,73.0,56594.0,5.95,0.0,5.28,1.4402030129531134,0.0,1.2780288921667964,27.16,52.983078,19.856922,3.68,19030.00069,-0.085243549,14757.18034
Croatia,Croatie,2012,4131362.0,73.0,56594.0,5.33,0.0,5.26,1.2901314384941334,0.0,1.2731878736358615,29.4,50.3305,20.2695,3.55,17409.99985,-2.275706646,13401.65662
Croatia,Croatie,2013,4131362.0,73.0,56594.0,4.67,0.0,9.28,1.1303778269732838,0.0,2.2462325983537634,32.82,33.476699999999994,33.703300000000006,3.49,17010.00023,-0.363117372,13837.73164
Croatia,Croatie,2014,4131362.0,73.0,56594.0,3.5,0.0,9.94,0.847178242913596,0.0,2.4059862098746128,33.6,26.041669999999996,40.35833,3.33,16239.99977,-0.345947048,13762.37286
Croatia,Croatie,2015,4131362.0,73.0,56594.0,3.73,0.0,7.52,0.9028499560193467,0.0,1.8202229676314978,33.09,33.155556000000004,33.75444399999999,3.4,16600.00038,2.52568842,11933.37738
Croatia,Croatie,2016,4131362.0,73.0,56594.0,4.26,0.0,8.36,1.0311369470891198,0.0,2.0235457459307606,31.83,33.75595,34.41405,3.31,16879.99916,3.532432232,12527.73986
